,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1728390685,,,,,,,,,,,,,,,,0.4387013925670904,,,,,,,,
1730080154,,,,,0.5198395566168694,,,,,,,,,,,,,,,,,,,
1729403368,,,,,,,,,0.5172146898549048,,,,,,,,,,,,,,,
1729473033,,,,0.5856387946123633,,,,,,,,,,,,,,,,,,,,
1728786975,,,,,,0.509211619262326,,,,,,,,,,,,,,,,,,
1728734479,,,,,,,,,,,,,,,0.3832360908810028,,,,,,,,,
1730006355,,,,,,,,0.275253659202939,,,,,,,,,,,,,,,,
1730309297,,,,,,,,,,,,,,,,,,,,0.4106892213983051,,,,
1728194787,,,,,,,,,0.21728365615399386,,,,,,,,,,,,,,,
1729747576,,,,,,,,0.7350012613694477,,,,,,,,,,,,,,,,
1729195516,,,,,,,,,,,,,,,,,,,,,,,0.7072044742657803,
1728182984,,,,,,0.501235829093062,,,,,,,,,,,,,,,,,,
1729478775,,,,,,0.8532518601682311,,,,,,,,,,,,,,,,,,
1728508878,,,,,,,,,,,,,,,,,,,,,,,,0.17785782463806496
1729706472,,,,,,,,,,,,,,,,,,,,,0.7416485228825137,,,
1728402077,,,,,,,,,,,,,,,,,,,0.30017669160487287,,,,,
1729993818,,,,,0.47566005161830355,,,,,,,,,,,,,,,,,,,
1728699709,,,,,0.2711286469367938,,,,,,,,,,,,,,,,,,,
1729222503,,,,,,,0.5824923155737705,,,,,,,,,,,,,,,,,
1728406157,,,,,,,,,,,,,,,,,,,,0.6885063559322034,,,,
1729103957,,,,,,,,,,,,,,,,,,,,,,0.7068260063559322,,
1729964657,,,,,,,,,,,,,,,,,,,,,0.1139971462271946,,,
1728960010,,,,,,0.5918862875405844,,,,,,,,,,,,,,,,,,
1729576934,,,,,,,,,0.6238570622990941,,,,,,,,,,,,,,,
1729564574,,,,,,0.4085358754018118,,,,,,,,,,,,,,,,,,
1730105175,,,,,,,,,,,,0.8536318613411222,,,,,,,,,,,,
1728797236,,,,,,,,0.1313687742000292,,,,,,,,,,,,,,,,
1729533918,,,,,,,,,,,,,,,,,,,,,0.2532178286105226,,,
1729305208,,,,,,0.8095558525581703,,,,,,,,,,,,,,,,,,
1729017904,,,,,,,,,,,,,,,,,,,,,,0.4924560546875,,
1730223136,,,,,,,,,,,,,,,,,,,,,0.11529244936258036,,,
1728024373,,,,,,,,,,0.8997714855565638,,,,,,,,,,,,,,
1730115432,,,,,,,,,,,,,,,0.11411115089042649,,,,,,,,,
1728709813,,,,,,,,0.5572933218573446,,,,,,,,,,,,,,,,
1729390935,,,,,0.49431130395624007,,,,,,,,,,,,,,,,,,,
1728873412,,,,,,0.2734349316006721,,,,,,,,,,,,,,,,,,
