,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1731090139,,,,,,,,,,,,,,,,,,,,,0.2695911288322453,,,
1730481835,,,,,,,,,,,,,,,,,,,,0.46107088353654635,,,,
1731814574,,,,,,,0.41602909942793714,,,,,,,,,,,,,,,,,
1730773586,,,,,0.1084647527695856,,,,,,,,,,,,,,,,,,,
1730942058,,,,0.7998661895918716,,,,,,,,,,,,,,,,,,,,
1732425972,,,,,,,,0.14410807291666666,,,,,,,,,,,,,,,,
1731828019,,,,,,,,,,0.6461884712260929,,,,,,,,,,,,,,
1731435295,,,,,,,,,,,,,,,,,,,,,0.39368393030543786,,,
1731013273,,,,,,,,,,,,,,,,,,,,,,,,0.11284191102608124
1731176300,,,,,,,,,,,,,,,,,,,,,0.35175370690937335,,,
1730641582,,,,,,,,,,,,,,,,,0.14706517779637898,,,,,,,
1732309517,,,,,,,,,,,,,,,,,,,,,,,,0.43232288464822405
1732141139,0.8908845009547036,,,,,,,,,,,,,,,,,,,,,,,
1731029114,,,,0.10742601297669492,,,,,,,,,,,,,,,,,,,,
1732727354,,,,,,,,,,,,,,,,,,,,0.25887151350054827,,,,
1732050972,,,,,,,,,,,,,,,,,,,,,,,,0.5695131570536236
1730824274,,,,,,,,,,,,,,,,,,,,0.39523594743114404,,,,
1731640577,,,,,,0.8914316766273042,,,,,,,,,,,,,,,,,,
1730842393,0.11290152167196328,,,,,,,,,,,,,,,,,,,,,,,
1732124116,,,,,,,,,,,,,,,,,,,,,0.39207950506654565,,,
1731212180,,,,,,,0.5056401519533316,,,,,,,,,,,,,,,,,
1732816812,,,,,,,,,,,,,,,,,,,,,0.3779846227078463,,,
1732583605,,,,0.1273285412397541,,,,,,,,,,,,,,,,,,,,
1730833350,,,,,,,,,,,,,,,,,,,,,,0.9046234992937853,,
1730682980,,,,0.4484300745247696,,,,,,,,,,,,,,,,,,,,
1731900376,,,,,,0.4222129279798497,,,,,,,,,,,,,,,,,,
1732641674,,,,,,,,,,,,,,,,,,,,0.2662018510632049,,,,
1731605480,,,,,,,,,,,,,,,,,,,,,0.3323169629577604,,,
1730512275,,,,,0.4441643366737971,,,,,,,,,,,,,,,,,,,
1730609180,,,,,,,,0.34011226718509985,,,,,,,,,,,,,,,,
1731262460,,,,,,,,,,,,,,,,,,,,,0.11445444188755949,,,
1732150878,,,,0.12559211117097702,,,,,,,,,,,,,,,,,,,,
1730569580,,,,,,,,,,,,,,,,,,,,,0.25434730166480657,,,
1730750680,,,,,,,,,,,,,,,,,,,,,,,0.49336345139519056,
