,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1720844514,,,,,,,0.7880944757513662,,,,,,,,,,,,,,,,,
1721003540,,,,0.47669919591978377,,,,,,,,,,,,,,,,,,,,
1721154027,,,,,,,,,,,,,,,,,,,,,0.5231774082633848,,,
1721074111,,,,,,,,,,,,,,,,,,,,,,,0.16035387405939508,
1720257379,,,,,,,,,,,,0.44536312124823446,,,,,,,,,,,,
1721692871,,,0.11397618361509562,,,,,,,,,,,,,,,,,,,,,
1721145083,,,,,,,,,,,,,,,,,,,,,,0.031863019766051916,,
1720034704,,,,,,,,,,,,,,,,,,,0.26130121917966687,,,,,
1720972111,,,,,,,,,0.15427466785840396,,,,,,,,,,,,,,,
1721492877,,,,0.45931736680327867,,,,,,,,,,,,,,,,,,,,
1720418486,,,,,0.30735306512741817,,,,,,,,,,,,,,,,,,,
1721407405,,,,,,,,,,,,,,,,,,,,0.2790823898746469,,,,
1720745129,,,,,,,,,,,,,,,,,,,0.1784062968019433,,,,,
1719797476,,,,,0.2588474961577869,,,,,,,,,,,,,,,,,,,
1721666164,,,,,,,,,,,,,,,,,,,,,,,,0.2104069778433152
1722185106,,,0.2787464139537961,,,,,,,,,,,,,,,,,,,,,
1721838156,,,0.41067635086389537,,,,,,,,,,,,,,,,,,,,,
1720491194,,,,,,,,,,,,,,,,,,,0.07733564210404548,,,,,
1719861927,,,0.11503823744719661,,,,,,,,,,,,,,,,,,,,,
1721165110,,,,,,,0.14253183166837433,,,,,,,,,,,,,,,,,
1721348775,,,,,,,,,,,,,,,,,,,0.18506486553297305,,,,,
1722297671,,,,,,,,,,,,,,,,,,,,,,,0.1424537953215891,
1720885526,,,,,0.5072392522951977,,,,,,,,,,,,,,,,,,,
1722209834,,,,,,,,,,,,,,,,,,,0.18309047765899122,,,,,
1720411288,,,0.8036881704179067,,,,,,,,,,,,,,,,,,,,,
1722268818,,,,0.7211220594681473,,,,,,,,,,,,,,,,,,,,
1720728208,,,0.49431669383419485,,,,,,,,,,,,,,,,,,,,,
1720057818,,,,,,,,,,,,0.5886874839907786,,,,,,,,,,,,
1721751682,,,,0.7189911130874876,,,,,,,,,,,,,,,,,,,,
1722037516,,,,,,,,,,,,,,,,,,,,,0.17508523619282126,,,
1721956871,,,,,,,,,,,,,,,0.08100291574398466,,,,,,,,,
1721779032,,,,,,,,,,,,,,,,,,,,0.18265400870901638,,,,
1721464485,,,,,,,,,,0.1464945744232549,,,,,,,,,,,,,,
1722127412,,,,,,,0.15260729630881065,,,,,,,,,,,,,,,,,
1720980926,,,,,,,,,,,0.7990397635448668,,,,,,,,,,,,,
1720872891,,,,0.42609820676064253,,,,,,,,,,,,,,,,,,,,
1720370484,,,,,,,,,0.21222624231557377,,,,,,,,,,,,,,,
1720335527,,,,,,,,,,0.20680527460007442,,,,,,,,,,,,,,
1721100989,,,,,,,,,,,,0.4970072465309286,,,,,,,,,,,,
1722066677,,,,,,,,,,,,,,,,,,,0.17074353923905367,,,,,
1720659021,,,,,,,,,,,,,,,,,,,,,0.25938166190177153,,,
1720245688,,,,0.44147287142478814,,,,,,,,,,,,,,,,,,,,
1719817649,,,,,,,,,,,,,,,0.7901640377115283,,,,,,,,,
1720688111,,,,,,,,,,,,,,0.4353974556010929,,,,,,,,,,
