,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1735063571,,,,,,,,,,,,,,,,,,,0.1521775602946011,0.1239940864032364,0.14494526170276884,0.1372897907838983,0.1440738038108197,0.17463973918760958
1733331369,,,,,,,,,,,,,,,,,0.45866948824107684,0.155023428441344,0.15290059887562388,0.17861716564106928,,,,
1733203934,,,,,,0.16802364840914247,0.17045012264632486,0.17364248655380368,0.20317063790267695,,,,,,,,,,,,,,,
1733622971,,0.38859954537090374,0.18544333265900445,0.19134145418640125,,,,,,,,,,,,,,,,,,,,
1733341449,,,,,,,,,,,,,,,,,,,,0.3360681459124781,0.1818827037710951,0.1800406739327635,0.3174497335713764,
1734395955,0.4644152451166711,0.17784030698456504,0.19299206665620042,0.20006104161158117,0.19281503565408514,0.19382441705777367,,,,,,,,,,,,,,,,,,
1734649771,0.14751740361383128,0.21290244393823024,,,,,,,,,,,,,,,,,,,,,,0.1905210683483743
1734773181,,,,,,,,,,0.26858952926377117,0.14369219246557202,0.14365821967690678,0.14004223494879944,0.143325747042726,0.13493532342425849,0.28112599863170906,,,,,,,,
1735544779,,,,,,,,0.19449109784009783,0.15456583637336396,0.15467667225784418,0.15903287175133307,,,,,,,,,,,,,
1735195280,,,,,,,0.19722470238095238,0.15354701450892858,0.17421502976190475,0.16091502356150794,,,,,,,,,,,,,,
1733683365,,,,,,,,,,,,,,,,,,,0.15820519070597566,0.15276523148301163,0.16123627854805658,0.1411089690887758,0.14421337658233077,0.2339666357499339
1735013353,,,,,0.16331264029180695,0.1537443691472012,0.15705629926155495,,,,,,,,,,,,,,,,,
1735407611,,,,,,,,,,,,,,,,,,0.18522170705810417,0.15211808453281994,0.14575620073291248,0.11134978909141989,0.11488259818300503,0.1829328747121783,
1734599578,,,,,,,,,,0.18561647184550245,,,,,,,,,,,,,,
1735321634,,,,,,,,,,,,,,,,,,0.47340349968112244,0.1710198301977041,0.16138337053571428,0.17658077566964286,0.16836079001913265,0.21401672778486394,
1734116661,0.2090239751906622,,,,,,,,,,,,,,,,,,,0.2558368864513579,0.13337845575241816,0.14803052629743305,0.13564896356491815,0.150408935546875
1735023216,,,,,,,0.19527356946790542,0.1572680835132007,0.19254311684731606,0.15917864886370744,,,,,,,,,,,,,,
1735480931,,,,,,,,,,,,,,,0.15833906566741582,0.162090564164959,0.1518303833330579,0.1544175779559877,,,,,,
1734844579,,,,,,0.16647594347677597,0.15688344931124773,0.15203704889571948,0.15082907754866803,,,,,,,,,,,,,,,
1733031254,,,,,,0.32769727114230224,0.1508533611405367,0.14748079978813558,0.1756002824858757,0.14853607005318678,0.16223889367055086,0.15109176377118644,0.1503619350282486,0.1694530422404661,,,,,,,,,,
1733160375,,,,,,,,,,,,,,,,,,0.16597505855950467,0.15192650639474356,0.15831119753616307,1.0,,,
1733351473,0.20179428377045588,0.6278133960859877,,,,,,,,,,,,,,,,,,,,,0.16979051564326417,0.1935007421021871
1734311324,,0.22026034666218638,0.16498862177179338,0.23697697334447587,,,,,,,,,,,,,,,,,,,,
1734670583,,,,,0.12882949508768562,0.14567047291026625,0.1502399403561828,0.15159607714893752,0.15094071020545316,0.15202230442748335,0.14748113879288274,0.14894723574808788,0.36649637243450245,,,,,,,,,,,
1734795689,,,,,,,,,,,,,,,,0.17633173883298023,0.14307082698843573,0.14042317708333332,0.1690998889183145,,,,,
1734806177,,,,,,,,,,,,,,,,,,,0.15381214246072406,0.13769179047131147,0.14443265987875684,0.1369649051186817,0.1372074581625683,0.18546887451616575
