,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,,,,0.14778399304757756,0.1399290828226762,0.13553923519427863,0.13951311324463483,0.1498358510781744,0.17097063805888368,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,0.15452277254513633,,,,,,,
2,,,,,,0.1515545145853994,,,,,,,,,,,,,,,,,,
3,,,,,,0.1523680591138157,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,0.24078495880293715,0.17759112492038656,,,,,,,,,,,,,
5,,,,,,,,,,0.16503984411782016,,,,,,,,,,,,,,
6,,,,,,,,,,0.1665273248673287,,,,,,,,,,,,,,
7,,,,0.16492353198979826,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,0.15610894731394895,0.18591658181436294,,,,,,
9,,,,,,,,,,,,,,,,,,0.17349260131230423,,,,,,
10,,,,,,,,,,0.1601628509103499,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,0.17052400719682564,,,,,,,
12,,,,,,,,,,0.18271085899864287,,,,,,,,,,,,,,
13,,,,,,,,,,0.19646949627510132,,,,,,,,,,,,,,
14,,,,,,,,,,,,,0.12490238601352954,0.12538637831715055,0.13041435393468773,0.12071112961065573,,,,,,,,
15,,,,,,,,,,0.16649936423986278,,,,,,,,,,,,,,
16,0.16719608648031106,0.16555480839855535,0.1663649297187895,0.16513014051053743,0.16868958480264698,,,,,,,,,,,,,,0.1675360613174582,0.16850316727354017,0.1671625040345273,0.16405755782412126,0.16600748908500723,0.16360368926197347
17,,,,,,,,,,,,,,,,,,0.173168158894611,,,,,,
18,,,,0.15982599748027204,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,0.1711071810863673,0.17558010885478206,0.17150696955507191,0.1708040306292425,0.17125283277313968,0.16986992486422495,0.16840925512330526,0.17029721247498822,0.1701289349289095,0.17674044806218786,,,,,,
20,,,,0.17230117957884974,0.17204451893577596,0.17095590500517557,0.1710270384732235,0.18257702466005524,0.17127243626228372,,,,,,,,,,,,,,,
21,,,0.17369470973472811,0.15800316877059792,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,0.1582366834601078,,,,,,,,
23,,,,,,,,,,,,,,,,0.1628182675887978,0.14518499135252685,0.14651680837978948,0.14550791928864557,0.14705022107715318,0.15738004897895141,,,
24,,,,,,,,,,0.16731255384919896,,,,,,,,,,,,,,
25,,,0.16326463539660374,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,0.16833185190031777,,,,,,,,,,,
27,,,,,,,,,,0.1765522365638643,,,,,,,,,,,,,,
28,,,,,,,,,,0.1865634133629765,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,0.17649927142347718,,,
30,,,,,,,,,,0.1704078659109982,,,,,,,,,,,,,,
31,,,,0.15984169025279157,,,,,,,,,,,,,,,,,,,,
32,,,,0.16017975370762713,0.14693001291888225,0.15116807011410105,0.157551801914751,0.15006176254946274,0.164481797364313,,,,,,,,,,,,,,,
