Month,Mean RFI %,Median RFI %,Std Dev,Max RFI %,Min RFI %,Peak Time of RFI,Hour with Most RFI (UTC),Total observation hours ,Mean Day RFI %,Mean Night RFI %,Peak Day RFI Time,Peak Night RFI Time
August 2024,0.21653740318298395,0.1751091008181453,0.1512130473730336,1.0,0.1249993062670765,2024-08-17 22:19:17,4,110,0.18957541963316746,0.23591632885941455,2024-08-20 09:01:14,2024-08-17 22:19:17
September 2024,0.19395128270960027,0.1662019327894772,0.0654841358715081,0.5134712544747224,0.1186840682379943,2024-09-18 20:13:30,4,72,0.17857476279415196,0.21113680496804255,2024-09-19 11:46:10,2024-09-18 20:13:30
October 2024,0.21988577916849805,0.1705137400118471,0.14692552828483865,0.9995639428696668,0.096547220521054,2024-10-28 08:46:15,5,153,0.23717971636363858,0.21045272251660319,2024-10-28 08:46:15,2024-10-19 02:33:28
November 2024,0.21210723347611107,0.16933713214823284,0.14222319153374302,0.9999973792814264,0.1196279866996233,2024-11-05 21:33:13,21,98,0.19401198547470863,0.21971248263612078,2024-11-14 17:31:20,2024-11-05 21:33:13
December 2024,0.19140721116657583,0.16107565105478222,0.1047139686986331,1.0,0.1113497890914198,2024-12-02 17:26:15,20,124,0.19641604790124864,0.1882437353341509,2024-12-02 17:26:15,2024-12-04 22:31:13
January 2025,0.1729020539691065,0.16625588507081085,0.036000726572564166,0.3228194242143362,0.101069442665642,2025-01-23 15:26:13,6,60,0.16919213149512227,0.17809594543268445,2025-01-23 15:26:13,2025-01-29 22:04:16
February 2025,0.1810748106002985,0.1761505625425363,0.04400734276678247,0.3302319914048269,0.1292804118773946,2025-02-13 19:39:15,2,33,0.1581954899360951,0.18255089580444064,2025-02-11 15:11:15,2025-02-13 19:39:15
March 2025,0.18079915767358198,0.16923622020900247,0.03836415127033759,0.2923364956987873,0.1459284894233231,2025-03-28 11:23:11,3,28,0.18513280539767368,0.17874637717269645,2025-03-28 11:23:11,2025-03-10 03:16:37
April 2025,0.20851707492595414,0.16148325314854045,0.16045071822763865,0.9995445466984464,0.1114759506502045,2025-04-22 11:02:14,14,86,0.21264672051326666,0.19996280906652109,2025-04-22 11:02:14,2025-04-08 22:11:13
