,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1735063571,,,,,,,,,,,,,,,,,,,,,0.18392707115721801,,,
1733331369,,,,,,,,,,,,,,,,,,,,0.8551668604431337,,,,
1733203934,,,,,,,,,0.1133646979450242,,,,,,,,,,,,,,,
1733622971,,,,,0.657226312483999,,,,,,,,,,,,,,,,,,,
1733341449,,,,,,,,,,,,,,,,,,,,,,,0.5712836403236411,
1734395955,,,,0.8474318626883924,,,,,,,,,,,,,,,,,,,,
1734649771,,0.37383517545122885,,,,,,,,,,,,,,,,,,,,,,
1734773181,,,,,,,,,,,,0.4910789360434322,,,,,,,,,,,,
1735544779,,,,,,,,,,,0.1884652011171338,,,,,,,,,,,,,
1735195280,,,,,,,,,,0.19043201264880952,,,,,,,,,,,,,,
1733683365,,,,,,,,,,,,,,,,,,,,,,0.07783089511171339,,
1735013353,,,,,,,0.187857086489899,,,,,,,,,,,,,,,,,
1735407611,,,,,,,,,,,,,,,,,,,,,0.18199992873314383,,,
1734599578,,,,,,,,,,,,0.1472843011952765,,,,,,,,,,,,
1735321634,,,,,,,,,,,,,,,,,,,,,0.8703607302295918,,,
1734116661,,,,,,,,,,,,,,,,,,,,,,0.6175102354988219,,
1735023216,,,,,,,,,,0.18842194245026275,,,,,,,,,,,,,,
1735480931,,,,,,,,,,,,,,,,,0.16875113613828663,,,,,,,
1734844579,,,,,,,,0.16744764984631147,,,,,,,,,,,,,,,,
1733160375,,,,,,,,,,,,,,,,,,,,0.11441177377082115,,,,
1733351473,,0.10590466444148158,,,,,,,,,,,,,,,,,,,,,,
1734311324,,,,0.5369993679595494,,,,,,,,,,,,,,,,,,,,
1734670583,,,,,,,,0.08083929871511777,,,,,,,,,,,,,,,,
1734795689,,,,,,,,,,,,,,,,,,,0.11473878332450566,,,,,
1734806177,,,,,,,,,,,,,,,,,,,,,,0.11721564954747268,,
